Date2,Month,Year,LocationName,CurrentDepartmentType,Status,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2021-04-01,Apr,2021,NA,NA,NA,NA,NA,NA,NA,NA,339,26,313,92.3,7.7,7.7,9,11,2,4,2.7,3.2,0.6,1.2,34.6,42.3,7.7,1.2,313,26
2021-05-01,May,2021,NA,NA,NA,NA,NA,NA,NA,NA,322,39,283,87.9,12.1,12.1,9,9,19,2,2.8,2.8,5.9,0.6,23.1,23.1,48.7,0.6,283,39
2021-06-01,Jun,2021,NA,NA,NA,NA,NA,NA,NA,NA,347,49,298,85.9,14.1,14.1,18,17,14,0,5.2,4.9,4,0,36.7,34.7,28.6,0,298,49
2021-07-01,Jul,2021,NA,NA,NA,NA,NA,NA,NA,NA,310,42,268,86.5,13.5,13.5,11,14,9,8,3.5,4.5,2.9,2.6,26.2,33.3,21.4,2.6,268,42
2021-08-01,Aug,2021,NA,NA,NA,NA,NA,NA,NA,NA,356,49,307,86.2,13.8,13.8,22,18,8,1,6.2,5.1,2.2,0.3,44.9,36.7,16.3,0.3,307,49
2021-09-01,Sep,2021,NA,NA,NA,NA,NA,NA,NA,NA,143,30,113,79,21,21,8,5,12,5,5.6,3.5,8.4,3.5,26.7,16.7,40,3.5,113,30
2021-10-01,Oct,2021,NA,NA,NA,NA,NA,NA,NA,NA,165,26,139,84.2,15.8,15.8,7,9,8,2,4.2,5.5,4.8,1.2,26.9,34.6,30.8,1.2,139,26
2021-10-01,Oct,2021,NA,NA,NA,NA,NA,NA,NA,NA,165,26,139,84.2,15.8,15.8,7,9,8,2,4.2,5.5,4.8,1.2,26.9,34.6,30.8,1.2,139,26
2021-03-01,Mar,2021,NA,NA,NA,NA,NA,NA,NA,NA,65,2,63,96.9,3.1,3.1,1,1,0,0,1.5,1.5,0,0,50,50,0,0,63,2
2021-11-01,Nov,2021,NA,NA,NA,NA,NA,NA,NA,NA,213,22,191,89.7,10.3,10.3,4,9,9,0,1.9,4.2,4.2,0,18.2,40.9,40.9,0,191,22
2021-12-01,Dec,2021,NA,NA,NA,NA,NA,NA,NA,NA,235,18,217,92.3,7.7,7.7,6,10,2,0,2.6,4.3,0.9,0,33.3,55.6,11.1,0,217,18
2022-01-01,Jan,2022,NA,NA,NA,NA,NA,NA,NA,NA,299,35,264,88.3,11.7,11.7,8,16,9,2,2.7,5.4,3,0.7,22.9,45.7,25.7,0.7,264,35
2022-02-01,Feb,2022,NA,NA,NA,NA,NA,NA,NA,NA,338,31,307,90.8,9.2,9.2,14,11,5,1,4.1,3.3,1.5,0.3,45.2,35.5,16.1,0.3,307,31
2022-03-01,Mar,2022,NA,NA,NA,NA,NA,NA,NA,NA,437,54,383,87.6,12.4,12.4,22,20,11,1,5,4.6,2.5,0.2,40.7,37,20.4,0.2,383,54
2022-04-01,Apr,2022,NA,NA,NA,NA,NA,NA,NA,NA,382,33,349,91.4,8.6,8.6,12,7,11,3,3.1,1.8,2.9,0.8,36.4,21.2,33.3,0.8,349,33
